Company_ID,Domain,Founding_Year,Country,City,Funding_Stage,Total_Funding_USD_Millions,Valuation_USD_Millions,Revenue_ARR_Millions,Monthly_Burn_Rate_Millions,Runway_Months_2024,Peak_Headcount_2023,Layoffs_2024_2025,Current_Headcount_2026,Investor_Tier,AI_Adoption_Level,Acquisition_Status,Layoff_Rate,Val_Multiplite,Burn_Multiple,Starup_Age
AC92B07A,Robotics,2020,China,Hangzhou,Series A,5.47,51.74,7.52,0.41,10.7,37,0,37,Tier 3 (Angel/Seed),High,Independent,0.0,6.880319148936171,0.6542553191489362,6
0D0B58AC,HealthTech,2019,UK,London,Pre-IPO,57.15,400.35,36.49,3.01,18.4,279,0,279,Corporate VC (e.g. Google Ventures),High,Independent,0.0,10.971499040833105,0.9898602356810083,7
C80FA4EA,HealthTech,2018,USA,Boston,Series A,114.78,392.42,18.74,4.05,27.7,292,0,292,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,0.0,20.94023479188901,2.5933831376734258,8
EE52EAA7,Cybersecurity,2019,Germany,Munich,Series C+,25.76,225.87,16.64,1.34,17.9,93,0,93,Tier 2 (Mid-size VC),High,Independent,0.0,13.573918269230768,0.966346153846154,7
1936EDA8,Generative AI,2019,USA,San Francisco,Seed,2.65,26.35,4.95,0.2,8.8,16,0,16,Tier 2 (Mid-size VC),High,Independent,0.0,5.3232323232323235,0.4848484848484849,7
96C4CCA4,FinTech,2022,UK,London,Series C+,62.99,353.43,32.35,4.94,12.5,265,114,151,Corporate VC (e.g. Google Ventures),Medium,Independent,43.0188679245283,10.925193199381761,1.8324574961360123,4
A8A983FE,FinTech,2015,USA,Miami,Series A,4.26,56.56,4.0,0.21,13.7,19,6,13,Tier 2 (Mid-size VC),Low,Independent,31.57894736842105,14.14,0.63,11
439B6205,Generative AI,2018,USA,Boston,Pre-IPO,459.27,4002.12,512.91,11.62,39.2,710,0,710,Tier 2 (Mid-size VC),Low,Independent,0.0,7.802772416213371,0.27186056033222206,8
9017993D,FinTech,2020,UK,Cambridge,Series C+,11.08,106.4,4.29,0.22,34.6,15,0,15,Tier 3 (Angel/Seed),Medium,Independent,0.0,24.801864801864802,0.6153846153846154,6
9F956B96,Generative AI,2020,USA,Austin,Series B,53.25,356.32,19.55,3.11,16.6,220,18,202,Tier 3 (Angel/Seed),Low,Independent,8.181818181818182,18.226086956521737,1.9089514066496163,6
E83AC299,Generative AI,2020,Israel,Tel Aviv,Series B,25.85,196.33,13.91,3.5,7.2,192,101,91,Corporate VC (e.g. Google Ventures),Medium,Acquired (Fire Sale),52.604166666666664,14.11430625449317,3.01941049604601,6
B01BC255,Web3/Crypto,2023,UK,London,Seed,2.52,41.59,3.53,0.66,3.3,55,44,11,Tier 3 (Angel/Seed),Low,Acquired (Fire Sale),80.0,11.781869688385271,2.2436260623229463,3
A494656B,Web3/Crypto,2021,Israel,Jerusalem,Series B,0.0,43.6,1.83,0.21,0.0,11,0,11,Bootstrapped,High,Independent,0.0,23.825136612021858,1.3770491803278688,5
30AE450D,Cybersecurity,2020,USA,San Francisco,Series A,55.35,321.29,12.16,2.57,20.7,231,0,231,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,0.0,26.421875,2.5361842105263155,6
AA991B19,SpaceTech,2017,USA,San Francisco,Seed,4.24,39.44,2.33,0.49,7.2,33,0,33,"Tier 1 (e.g. Sequoia, a16z)",High,Closed,0.0,16.92703862660944,2.523605150214592,9
BD3FDF5D,Generative AI,2019,China,Hangzhou,Series A,2.46,25.46,0.86,0.31,6.0,27,0,27,Corporate VC (e.g. Google Ventures),Medium,Independent,0.0,29.6046511627907,4.325581395348837,7
E589D5BA,ClimateTech,2020,USA,San Francisco,Pre-IPO,0.0,11.44,0.67,0.72,0.0,41,0,41,Bootstrapped,High,Independent,0.0,17.07462686567164,12.895522388059701,6
3F8A5785,HealthTech,2021,USA,Austin,Seed,1.09,21.8,1.41,0.44,2.0,42,0,42,Tier 3 (Angel/Seed),High,Acquired,0.0,15.460992907801419,3.7446808510638303,5
7153735A,Generative AI,2023,India,Delhi NCR,Series A,8.63,41.98,1.47,0.51,14.1,36,11,25,Tier 3 (Angel/Seed),,Closed,30.555555555555557,28.557823129251698,4.163265306122449,3
46A01FEE,HealthTech,2020,India,Delhi NCR,Seed,1.8,21.92,1.01,0.34,4.1,26,0,26,Tier 2 (Mid-size VC),High,Independent,0.0,21.702970297029704,4.03960396039604,6
BD14378D,Generative AI,2020,USA,San Francisco,Pre-IPO,432.34,3140.69,178.74,17.75,24.2,1530,0,1530,Tier 3 (Angel/Seed),Low,Acquired,0.0,17.571276714781245,1.191675058744545,6
B6A02216,Autonomous Vehicles,2012,India,Hyderabad,Post-IPO,539.67,6283.44,266.16,33.04,16.3,2857,689,2168,Tier 3 (Angel/Seed),Low,Independent,24.116205810290513,23.607754733994586,1.4896302975653741,14
5954084C,Robotics,2014,China,Beijing,Series A,4.06,40.72,6.03,0.4,8.1,39,19,20,Tier 2 (Mid-size VC),High,Independent,48.717948717948715,6.75290215588723,0.7960199004975125,12
BE74061F,ClimateTech,2016,China,Hangzhou,Series A,3.76,31.21,2.31,0.55,5.8,29,0,29,Tier 2 (Mid-size VC),High,Independent,0.0,13.51082251082251,2.857142857142857,10
E433B5F8,SpaceTech,2014,USA,San Francisco,Series C+,73.63,514.55,94.12,4.11,17.5,357,97,260,Tier 2 (Mid-size VC),Low,Independent,27.170868347338935,5.466957076073097,0.5240118997025075,12
9B5154C7,FinTech,2019,USA,Seattle,Seed,1.42,21.25,2.67,0.42,2.7,24,0,24,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,0.0,7.958801498127341,1.8876404494382024,7
56738C23,FinTech,2018,India,Delhi NCR,Series A,20.92,111.57,4.03,2.59,7.8,162,68,94,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,41.9753086419753,27.6848635235732,7.712158808933002,8
1DAC6C17,Generative AI,2020,India,Delhi NCR,Seed,1.93,28.1,1.28,0.61,2.7,40,28,12,Tier 2 (Mid-size VC),Medium,Closed,70.0,21.953125,5.71875,6
B81533B6,Web3/Crypto,2020,USA,Seattle,Pre-IPO,116.2,895.08,71.9,2.67,41.9,182,68,114,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent,37.362637362637365,12.448956884561891,0.44561891515994434,6
5C40C7E2,Cybersecurity,2020,India,Mumbai,Seed,1.8,26.41,3.73,0.62,2.5,46,18,28,Tier 3 (Angel/Seed),,Independent,39.130434782608695,7.080428954423593,1.9946380697050936,6
D886E70C,Web3/Crypto,2019,USA,Miami,Series A,26.13,178.5,8.16,1.2,20.1,94,53,41,"Tier 1 (e.g. Sequoia, a16z)",Medium,Closed,56.38297872340425,21.875,1.764705882352941,7
09F40238,Autonomous Vehicles,2018,Canada,Toronto,Series A,28.13,282.45,29.63,1.7,15.6,123,0,123,Corporate VC (e.g. Google Ventures),High,Independent,0.0,9.532568342895713,0.6884913938575767,8
4CC78B5F,FinTech,2023,UK,London,Series C+,354.84,3608.07,134.59,13.6,25.9,841,0,841,Tier 3 (Angel/Seed),Low,Independent,0.0,26.80786091091463,1.2125715134854,3
6783B906,Web3/Crypto,2014,India,Mumbai,Post-IPO,1540.3,5151.41,345.01,56.31,27.3,4421,2514,1907,Tier 3 (Angel/Seed),Medium,Closed,56.86496267812712,14.931190400278252,1.9585519260311297,12
2069B10C,Generative AI,2023,China,Shenzhen,Seed,6.25,77.29,7.18,0.32,14.9,24,0,24,Tier 3 (Angel/Seed),High,Closed,0.0,10.764623955431755,0.5348189415041783,3
C245BA5C,Generative AI,2018,USA,San Francisco,Series B,53.95,186.63,16.09,7.71,6.9,401,172,229,Tier 3 (Angel/Seed),Medium,Independent,42.8927680798005,11.599129894344314,5.7501553760099435,8
83C88D10,Generative AI,2020,USA,New York,Series A,9.94,39.88,2.5,0.6,14.2,54,11,43,Tier 2 (Mid-size VC),,Independent,20.37037037037037,15.952000000000002,2.88,6
0011653A,SpaceTech,2015,USA,San Francisco,Seed,36.12,382.15,16.02,3.58,9.8,212,101,111,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,47.64150943396226,23.854556803995006,2.6816479400749067,11
3E6986C9,HealthTech,2014,USA,Boston,Series A,0.0,8.81,1.01,0.52,0.0,42,26,16,Bootstrapped,Low,Closed,61.904761904761905,8.722772277227723,6.178217821782178,12
72871B9E,Robotics,2019,USA,Austin,Post-IPO,972.96,6916.41,260.92,27.95,34.7,2529,502,2027,Tier 2 (Mid-size VC),High,Independent,19.84974298141558,26.507780162501913,1.2854514793806529,7
068653A0,EdTech,2021,India,Hyderabad,Series A,11.69,80.77,6.86,0.71,14.4,52,0,52,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,0.0,11.77405247813411,1.2419825072886297,5
15646930,HealthTech,2018,USA,Miami,Seed,2.2,35.44,2.62,0.18,7.9,10,5,5,Tier 2 (Mid-size VC),Medium,Closed,50.0,13.526717557251906,0.8244274809160306,8
AFCBA60C,Robotics,2020,Israel,Jerusalem,Series C+,56.82,392.8,54.29,2.94,18.7,184,0,184,Corporate VC (e.g. Google Ventures),High,Closed,0.0,7.235218272241665,0.6498434334131516,6
07A4B541,FinTech,2018,USA,New York,Series C+,28.5,238.38,8.72,1.79,15.1,90,21,69,Tier 2 (Mid-size VC),Medium,Independent,23.333333333333332,27.33715596330275,2.4633027522935778,8
C9322C05,Generative AI,2019,Singapore,Singapore,Seed,5.66,70.98,3.64,0.4,11.3,35,0,35,Tier 3 (Angel/Seed),High,Independent,0.0,19.5,1.3186813186813189,7
957638A8,Cybersecurity,2022,Japan,Kyoto,Seed,7.41,58.73,9.44,0.38,15.4,27,0,27,Tier 3 (Angel/Seed),High,Independent,0.0,6.221398305084746,0.4830508474576272,4
09A10FFF,Generative AI,2022,USA,New York,Series B,0.0,36.44,3.05,0.87,0.0,44,18,26,Bootstrapped,High,Independent,40.909090909090914,11.947540983606558,3.422950819672131,4
38D03B6B,Web3/Crypto,2020,Japan,Kyoto,Seed,3.09,47.46,5.2,0.56,4.7,37,27,10,"Tier 1 (e.g. Sequoia, a16z)",High,Closed,72.97297297297297,9.126923076923077,1.2923076923076924,6
F655570D,Cybersecurity,2017,Canada,Montreal,Series A,1.4,28.35,1.49,0.5,2.3,32,0,32,Tier 3 (Angel/Seed),Medium,Independent,0.0,19.026845637583893,4.026845637583893,9
551EF6BD,Generative AI,2016,USA,Miami,Seed,0.0,16.52,2.52,0.15,0.0,11,0,11,Bootstrapped,Medium,Independent,0.0,6.555555555555555,0.7142857142857142,10
1850E12C,Generative AI,2023,France,Paris,Seed,5.89,74.93,4.09,0.47,10.3,27,0,27,Tier 2 (Mid-size VC),High,Acquired,0.0,18.32029339853301,1.3789731051344742,3
0E19EA22,Cybersecurity,2017,USA,Seattle,Seed,1.92,24.24,0.84,0.37,4.1,33,0,33,Tier 2 (Mid-size VC),High,Independent,0.0,28.857142857142858,5.285714285714286,9
F4885E97,ClimateTech,2021,USA,Miami,Series B,29.42,131.25,6.71,2.78,10.2,144,85,59,"Tier 1 (e.g. Sequoia, a16z)",Medium,Closed,59.02777777777778,19.560357675111774,4.971684053651266,5
A6C7BDC4,Cybersecurity,2019,China,Shanghai,Seed,0.89,18.27,1.9,0.8,1.0,45,0,45,Tier 3 (Angel/Seed),Low,Acquired,0.0,9.615789473684211,5.052631578947369,7
F4A88378,Cybersecurity,2024,USA,Seattle,Series C+,56.76,337.19,14.19,1.21,43.3,71,0,71,Tier 2 (Mid-size VC),Medium,Independent,0.0,23.76250880902044,1.0232558139534884,2
D4AE20B8,Generative AI,2019,USA,Miami,Post-IPO,1385.92,14808.34,1553.22,64.43,21.5,3294,0,3294,Tier 3 (Angel/Seed),High,Independent,0.0,9.533961705360477,0.4977788078958551,7
4FA01BF2,HealthTech,2019,Singapore,Singapore,Seed,1.45,24.74,3.5,0.9,1.4,49,0,49,Tier 3 (Angel/Seed),Medium,Independent,0.0,7.0685714285714285,3.085714285714286,7
54993609,Generative AI,2020,Japan,Tokyo,Series A,12.52,55.48,2.53,1.21,9.6,72,0,72,Tier 3 (Angel/Seed),High,Independent,0.0,21.92885375494071,5.739130434782609,6
03282ECC,EdTech,2023,Germany,Munich,Seed,0.34,9.12,0.32,0.32,0.8,16,0,16,Tier 3 (Angel/Seed),Low,Independent,0.0,28.499999999999996,12.0,3
CC0988E7,ClimateTech,2024,China,Hangzhou,Series A,0.0,1.73,0.09,0.6,0.0,32,15,17,Bootstrapped,High,Closed,46.875,19.22222222222222,80.0,2
093BB78D,SpaceTech,2021,Israel,Jerusalem,Seed,3.39,30.1,4.78,0.4,6.8,27,0,27,Tier 3 (Angel/Seed),High,Independent,0.0,6.297071129707113,1.0041841004184102,5
D829A13B,Generative AI,2021,USA,Miami,Series A,11.75,148.17,5.64,0.69,14.9,43,0,43,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,0.0,26.27127659574468,1.4680851063829787,5
AF7C535D,SpaceTech,2020,France,Paris,Seed,5.02,23.1,4.55,0.33,11.7,18,0,18,Tier 2 (Mid-size VC),Medium,Closed,0.0,5.0769230769230775,0.8703296703296703,6
2953C973,SpaceTech,2021,USA,Miami,Seed,5.18,27.92,5.32,0.39,10.6,33,11,22,Tier 3 (Angel/Seed),Medium,Independent,33.33333333333333,5.2481203007518795,0.8796992481203006,5
A2267264,Cybersecurity,2022,Canada,Vancouver,Series B,12.39,79.9,15.85,0.67,16.1,44,16,28,Tier 3 (Angel/Seed),Medium,Independent,36.36363636363637,5.041009463722398,0.5072555205047319,4
20C6131E,ClimateTech,2019,UK,London,Seed,0.53,16.59,0.7,0.17,2.0,14,6,8,Tier 3 (Angel/Seed),,Closed,42.857142857142854,23.700000000000003,2.9142857142857146,7
7922EED3,Autonomous Vehicles,2020,Singapore,Singapore,Seed,2.81,39.58,2.59,0.52,4.5,40,16,24,Corporate VC (e.g. Google Ventures),High,Independent,40.0,15.281853281853282,2.4092664092664093,6
D4968404,HealthTech,2020,Canada,Toronto,Seed,0.99,12.7,0.45,0.56,1.5,39,0,39,Tier 3 (Angel/Seed),High,Closed,0.0,28.22222222222222,14.933333333333334,6
90B9E6F4,Generative AI,2020,Israel,Jerusalem,Seed,1.11,21.91,1.15,0.44,2.1,33,0,33,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,0.0,19.05217391304348,4.591304347826087,6
222DCB3F,ClimateTech,2022,UK,Cambridge,Series B,0.0,46.92,2.5,0.4,0.0,23,0,23,Bootstrapped,High,Independent,0.0,18.768,1.9200000000000004,4
7F757D38,Cybersecurity,2019,Canada,Vancouver,Seed,1.36,29.07,1.2,0.18,4.9,12,0,12,Tier 3 (Angel/Seed),,Closed,0.0,24.225,1.8000000000000003,7
79B79B1D,FinTech,2017,India,Bengaluru,Series A,13.31,135.17,9.11,0.42,25.6,41,0,41,"Tier 1 (e.g. Sequoia, a16z)",Low,Closed,0.0,14.83754116355653,0.5532381997804611,9
AC552CC2,Cybersecurity,2019,USA,New York,Pre-IPO,68.72,514.52,70.76,2.38,27.7,158,0,158,Tier 3 (Angel/Seed),Medium,Closed,0.0,7.2713397399660815,0.40361786319954773,7
AF86A457,HealthTech,2017,UK,Oxford,Series A,7.66,61.49,2.49,1.13,6.2,59,27,32,Tier 3 (Angel/Seed),Low,Independent,45.76271186440678,24.694779116465863,5.44578313253012,9
DB5CCB63,FinTech,2019,USA,Miami,Series A,10.69,78.83,2.99,0.74,12.7,45,0,45,Tier 3 (Angel/Seed),Low,Acquired,0.0,26.364548494983275,2.969899665551839,7
7DDB907F,HealthTech,2022,Canada,Vancouver,Series A,0.0,46.06,1.55,0.81,0.0,46,0,46,Bootstrapped,Medium,Independent,0.0,29.716129032258067,6.270967741935484,4
A54E30D7,Generative AI,2020,USA,New York,Series A,28.24,303.4,10.72,1.7,15.7,101,0,101,Tier 2 (Mid-size VC),High,Independent,0.0,28.302238805970145,1.9029850746268655,6
14F6A870,Generative AI,2022,Japan,Kyoto,Post-IPO,3604.28,32720.77,3557.81,139.57,25.8,12678,0,12678,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent,0.0,9.196885162501651,0.47075026491015537,4
1AE5232A,Generative AI,2016,USA,Boston,Seed,2.78,31.99,1.1,0.29,7.1,16,8,8,Corporate VC (e.g. Google Ventures),High,Independent,50.0,29.08181818181818,3.163636363636363,10
B30DC77B,ClimateTech,2022,USA,Miami,Pre-IPO,41.7,214.09,11.3,3.35,12.1,174,55,119,Tier 2 (Mid-size VC),Low,Closed,31.60919540229885,18.946017699115043,3.5575221238938055,4
4F0F29C2,SpaceTech,2020,France,Lyon,Seed,6.26,80.07,6.02,0.2,20.9,16,0,16,Tier 3 (Angel/Seed),High,Closed,0.0,13.300664451827242,0.39867109634551506,6
BBFDBDA6,FinTech,2013,USA,New York,Seed,3.42,43.48,4.27,0.39,7.0,36,0,36,Tier 2 (Mid-size VC),High,Acquired,0.0,10.182669789227166,1.0960187353629978,13
8AA87726,Autonomous Vehicles,2020,China,Shenzhen,Series B,7.46,99.92,3.51,0.85,7.9,49,27,22,Corporate VC (e.g. Google Ventures),High,Acquired (Fire Sale),55.10204081632652,28.467236467236468,2.905982905982906,6
BAA1AFA1,Robotics,2023,India,Mumbai,Seed,1.06,20.5,3.76,0.08,5.9,7,2,5,Corporate VC (e.g. Google Ventures),,Independent,28.57142857142857,5.452127659574469,0.2553191489361702,3
35204593,HealthTech,2014,USA,New York,Series A,3.33,47.18,3.81,0.39,6.8,26,0,26,Tier 2 (Mid-size VC),Low,Independent,0.0,12.383202099737533,1.2283464566929132,12
4716EE73,Cybersecurity,2020,China,Shenzhen,Series B,11.1,107.8,7.28,1.02,9.9,70,0,70,Tier 2 (Mid-size VC),Medium,Independent,0.0,14.807692307692307,1.6813186813186813,6
999380CB,Robotics,2022,India,Hyderabad,Series A,5.87,62.12,2.5,0.88,6.0,50,0,50,Corporate VC (e.g. Google Ventures),High,Independent,0.0,24.848,4.224,4
692490D0,Generative AI,2012,Singapore,Singapore,Seed,7.68,33.58,2.37,0.28,20.2,24,0,24,Tier 3 (Angel/Seed),High,Independent,0.0,14.168776371308015,1.4177215189873418,14
D6B9B71B,Robotics,2020,USA,Austin,Seed,3.98,35.66,1.35,0.27,10.8,26,0,26,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,0.0,26.41481481481481,2.4,6
01D20AC5,Generative AI,2019,USA,New York,Seed,4.09,51.93,4.37,0.2,13.6,15,0,15,Tier 2 (Mid-size VC),Medium,Independent,0.0,11.883295194508008,0.5491990846681923,7
D7F8365E,Web3/Crypto,2018,China,Shanghai,Pre-IPO,1069.52,9108.4,603.31,23.59,45.1,1657,0,1657,Tier 3 (Angel/Seed),High,Independent,0.0,15.09737945666407,0.4692115164674877,8
7528DD38,Cybersecurity,2020,USA,Seattle,Series B,6.46,48.91,6.6,0.63,8.8,57,23,34,Corporate VC (e.g. Google Ventures),Medium,Closed,40.35087719298245,7.41060606060606,1.1454545454545455,6
08DC94BD,ClimateTech,2014,USA,Boston,Post-IPO,193.32,2080.54,224.57,12.92,14.8,724,249,475,Tier 2 (Mid-size VC),High,Independent,34.392265193370164,9.264550028944205,0.6903860711582135,12
706A91F7,Autonomous Vehicles,2021,USA,San Francisco,Series C+,53.02,453.73,22.88,3.58,14.4,188,0,188,Tier 3 (Angel/Seed),Medium,Closed,0.0,19.830856643356643,1.8776223776223777,5
AE13023F,Cybersecurity,2012,China,Beijing,Series A,9.5,115.39,20.72,0.91,9.4,49,0,49,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent,0.0,5.569015444015444,0.5270270270270271,14
C7EA8121,Generative AI,2018,Israel,Tel Aviv,Series C+,123.93,1046.67,60.22,7.88,15.5,645,130,515,Tier 3 (Angel/Seed),Low,Independent,20.155038759689923,17.380770508136834,1.570242444370641,8
0FDAFED6,Autonomous Vehicles,2020,USA,New York,Series B,36.5,331.43,11.93,1.84,18.8,173,40,133,Tier 3 (Angel/Seed),,Independent,23.121387283236995,27.781223805532274,1.850796311818944,6
683CE85F,FinTech,2019,USA,Miami,Series A,6.01,76.58,3.59,0.7,7.5,38,19,19,"Tier 1 (e.g. Sequoia, a16z)",High,Acquired,50.0,21.331476323119777,2.3398328690807797,7
16BD2DEB,Cybersecurity,2018,UK,London,Series A,25.21,276.88,17.28,2.07,11.6,120,0,120,Tier 2 (Mid-size VC),Low,Independent,0.0,16.023148148148145,1.4374999999999998,8
D445E1E4,Autonomous Vehicles,2021,USA,Miami,Series B,8.8,70.17,11.93,0.85,9.3,52,0,52,Tier 3 (Angel/Seed),Low,Independent,0.0,5.881810561609388,0.8549874266554903,5
B0454B75,SpaceTech,2023,UK,Cambridge,Series A,8.43,44.87,2.46,1.01,7.6,65,36,29,Tier 2 (Mid-size VC),Medium,Acquired (Fire Sale),55.38461538461539,18.239837398373982,4.926829268292684,3
3DE0403F,Generative AI,2022,USA,Seattle,Series B,136.24,1383.76,89.19,10.59,12.7,590,112,478,Tier 3 (Angel/Seed),High,Closed,18.983050847457626,15.514743805359345,1.4248234106962665,4
2FF85461,Robotics,2020,USA,San Francisco,Series A,16.1,162.45,9.39,1.28,11.7,74,0,74,Tier 3 (Angel/Seed),High,Independent,0.0,17.300319488817888,1.6357827476038338,6
B8C4E956,HealthTech,2022,USA,Boston,Series B,16.92,202.63,9.02,1.19,13.1,66,0,66,Tier 3 (Angel/Seed),Medium,Closed,0.0,22.464523281596453,1.583148558758315,4
BABEF0C3,Cybersecurity,2023,USA,Boston,Seed,3.3,36.77,3.13,0.38,6.9,23,0,23,Tier 2 (Mid-size VC),High,Independent,0.0,11.747603833865815,1.4568690095846648,3
4B531EBD,EdTech,2019,Canada,Montreal,Series B,8.84,91.67,5.3,0.25,25.3,20,0,20,Tier 3 (Angel/Seed),High,Acquired,0.0,17.296226415094342,0.5660377358490566,7
5C2187D9,Generative AI,2018,France,Lyon,Series B,11.91,110.58,16.12,0.93,11.6,49,0,49,Tier 3 (Angel/Seed),High,Closed,0.0,6.859801488833746,0.6923076923076923,8
E61203D5,FinTech,2014,China,Shenzhen,Series A,13.46,112.67,17.29,0.79,15.1,48,7,41,Corporate VC (e.g. Google Ventures),,Independent,14.583333333333334,6.516483516483517,0.5482938114517062,12
575EA69F,HealthTech,2019,China,Beijing,Seed,0.44,16.62,2.51,0.31,1.1,20,0,20,Tier 3 (Angel/Seed),Low,Independent,0.0,6.621513944223109,1.4820717131474104,7
4085458D,Robotics,2023,USA,Miami,Series A,6.02,53.81,3.35,0.45,10.9,33,0,33,Tier 3 (Angel/Seed),,Independent,0.0,16.062686567164178,1.6119402985074627,3
550A115C,Generative AI,2020,India,Bengaluru,Seed,16.77,92.54,3.84,1.1,14.0,55,0,55,Tier 2 (Mid-size VC),,IPO,0.0,24.098958333333336,3.4375000000000004,6
69784C89,SpaceTech,2020,China,Shenzhen,Seed,1.43,25.38,1.08,0.38,3.0,33,0,33,Tier 2 (Mid-size VC),Medium,Independent,0.0,23.499999999999996,4.222222222222222,6
